,RMSE,MAE,R²,MAPE,Directional_Accuracy
linear_regression,19.749725178146754,15.478602572467226,0.8453577526096078,1.0741244136960084,34.69387755102041
lstm,24.06838993743801,18.693284966786706,0.778672868459057,1.2855619655305448,46.808510638297875
prophet,141.9303901721236,110.43001550817773,-7.012696549486984,7.86240568017012,57.14285714285714
