,RMSE,MAE,R²,MAPE,Directional_Accuracy
linear_regression,49.87761557274288,34.47124305015416,0.1763946855256494,1.4169852488979082,52.083333333333336
lstm,48.640326220256966,40.502107319078945,0.17206621611744322,1.6492034588362015,54.054054054054056
prophet,280.32547707989846,263.7265591528656,-29.51800417336464,10.751798908160557,44.89795918367347
