Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_5,MA_10,MA_20,MA_50,MA_200,EMA_12,EMA_26,MACD,MACD_signal,MACD_histogram,RSI,BB_middle,BB_upper,BB_lower,BB_width,BB_position,Stoch_K,Stoch_D,Williams_R,Volume_MA,Volume_ratio,Volume_rate_of_change,High_Low_Pct,Price_Change,Price_Range,Open_Close_ratio,High_Close_ratio,Low_Close_ratio,Volatility,Volatility_MA,Momentum,ROC,True_Range,ATR,Close_lag_1,Volume_lag_1,High_lag_1,Low_lag_1,Close_lag_2,Volume_lag_2,High_lag_2,Low_lag_2,Close_lag_3,Volume_lag_3,High_lag_3,Low_lag_3,Close_lag_5,Volume_lag_5,High_lag_5,Low_lag_5,Close_lag_10,Volume_lag_10,High_lag_10,Low_lag_10,Target
2024-12-09 00:00:00+05:30,2420.3212934353196,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,0.0,0.0,2355.5667724609375,2343.6369140625,2328.6976318359375,2330.202822265625,2280.4353153571706,2336.9645165251945,2314.5065098604296,-6.21586651333655,-6.21586651333655,0.0,0.0,2328.6976318359375,2376.1844879108353,2281.2107757610397,94.97371214979557,0.5,50.0,50.0,-50.0,3097499.870808035,1.0,0.0,0.039008602454961995,0.0,91.95247576905331,1.026762470061439,1.031740060885921,0.9927314584309591,0.00043583551483131265,0.00021791775741565632,-60.72900390625,0.0,91.95247576905331,45.4186993826071,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2353.897705078125
2024-12-10 00:00:00+05:30,2365.0418405006158,2369.2639501866993,2345.0116899782884,2353.897705078125,2063838.0,0.0,0.0,2355.5667724609375,2343.6369140625,2328.6976318359375,2330.202822265625,2280.4353153571706,2336.9645165251945,2314.5065098604296,-6.21586651333655,-6.21586651333655,0.0,0.0,2328.6976318359375,2376.1844879108353,2281.2107757610397,94.97371214979557,0.5,50.0,50.0,-50.0,2724429.5,0.7575303380028736,0.0,0.010303022156014207,-0.001416122523339114,24.252260208410917,1.0047343329314817,1.0065280003780217,0.9962249782220074,0.0010013498392440923,0.0005006749196220462,-60.72900390625,0.0,24.252260208410917,45.4186993826071,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.824951171875
2024-12-11 00:00:00+05:30,2361.4086980082207,2365.6799489199275,2341.77120363809,2357.824951171875,1718225.0,0.0,0.0,2356.3194986979165,2343.6369140625,2328.6976318359375,2330.202822265625,2280.4353153571706,2336.9645165251945,2314.5065098604296,-6.21586651333655,-6.21586651333655,0.0,0.0,2328.6976318359375,2376.1844879108353,2281.2107757610397,94.97371214979557,0.5,50.0,50.0,-50.0,2389028.0,0.7192150950093511,0.0,0.010140169765340117,0.0016684013435577238,23.908745281837582,1.0015199376164734,1.0033314592519467,0.9931912894866066,0.001543980436498996,0.000848443425247696,-60.72900390625,0.0,23.908745281837582,45.4186993826071,2353.897705078125,2063838.0,2369.2639501866993,2345.0116899782884,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2302.447265625
2024-12-12 00:00:00+05:30,2341.82054101358,2356.450379655681,2295.6232837042285,2302.447265625,3231056.0,0.0,0.0,2342.8514404296875,2343.6369140625,2328.6976318359375,2330.202822265625,2280.4353153571706,2336.9645165251945,2314.5065098604296,-6.21586651333655,-6.21586651333655,0.0,0.0,2328.6976318359375,2376.1844879108353,2281.2107757610397,94.97371214979557,0.5,50.0,50.0,-50.0,2599535.0,1.2429361405020514,0.0,0.026418453468874992,-0.023486767123806818,60.82709595145252,1.0171006198389052,1.0234546583702198,0.9970362049013448,0.011852662630394237,0.0035994982265343312,-60.72900390625,0.0,62.20166746764653,45.4186993826071,2357.824951171875,1718225.0,2365.6799489199275,2341.77120363809,2353.897705078125,2063838.0,2369.2639501866993,2345.0116899782884,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2346.77880859375
2024-12-13 00:00:00+05:30,2302.4470222060845,2351.148103051197,2291.1554631934337,2346.77880859375,2260902.0,0.0,0.0,2343.6369140625,2343.6369140625,2328.6976318359375,2330.202822265625,2280.4353153571706,2336.9645165251945,2314.5065098604296,-6.21586651333655,-6.21586651333655,0.0,0.0,2328.6976318359375,2376.1844879108353,2281.2107757610397,94.97371214979557,0.5,50.0,50.0,-50.0,2531808.4,0.892998854099702,0.0,0.02556382375623729,0.019254096990888536,59.99263985776315,0.9811095164890166,1.0018618262792585,0.9762980025230212,0.015198427088899088,0.005919283999007282,-60.72900390625,0.0,59.99263985776315,45.4186993826071,2302.447265625,3231056.0,2356.450379655681,2295.6232837042285,2357.824951171875,1718225.0,2365.6799489199275,2341.77120363809,2353.897705078125,2063838.0,2369.2639501866993,2345.0116899782884,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2323.2626953125
2024-12-16 00:00:00+05:30,2346.9751128385005,2349.6261265509324,2320.1698859339126,2323.2626953125,1247552.0,0.0,0.0,2336.84228515625,2340.2412109375,2328.6976318359375,2330.202822265625,2280.4353153571706,2336.9645165251945,2314.5065098604296,-6.21586651333655,-6.21586651333655,0.0,0.0,2328.6976318359375,2376.1844879108353,2281.2107757610397,94.97371214979557,0.5,50.0,50.0,-50.0,2317765.6666666665,0.5382563120775655,0.0,0.012678824773647776,-0.010020592138950457,29.45624061701983,1.0102065158511104,1.0113475894446307,0.998668764670983,0.014105874361081402,0.007283715726019636,-60.72900390625,0.0,29.45624061701983,45.4186993826071,2346.77880859375,2260902.0,2351.148103051197,2291.1554631934337,2302.447265625,3231056.0,2356.450379655681,2295.6232837042285,2357.824951171875,1718225.0,2365.6799489199275,2341.77120363809,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2320.41552734375
2024-12-17 00:00:00+05:30,2310.6950631027157,2336.861929579234,2310.6950631027157,2320.41552734375,2131569.0,0.0,0.0,2330.145849609375,2337.4089704241073,2328.6976318359375,2330.202822265625,2280.4353153571706,2333.27166748985,2314.5065098604296,-6.21586651333655,-6.21586651333655,0.0,36.192854736410375,2328.6976318359375,2376.1844879108353,2281.2107757610397,94.97371214979557,0.5,20.766666605514843,40.25555553517162,-79.23333339448516,2291166.1428571427,0.9303423964452787,0.0,0.011276802007299276,-0.0012255041044194614,26.166866476518408,0.9958108950200995,1.0070876970273988,0.9958108950200995,0.012883650672117317,0.008083706432605019,-60.72900390625,0.0,26.166866476518408,45.4186993826071,2323.2626953125,1247552.0,2349.6261265509324,2320.1698859339126,2346.77880859375,2260902.0,2351.148103051197,2291.1554631934337,2302.447265625,3231056.0,2356.450379655681,2295.6232837042285,2353.897705078125,2063838.0,2369.2639501866993,2345.0116899782884,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2316.438720703125
2024-12-18 00:00:00+05:30,2307.454663175832,2339.807386268207,2307.454663175832,2316.438720703125,988403.0,0.0,0.0,2321.868603515625,2334.7876892089844,2328.6976318359375,2330.202822265625,2280.4353153571706,2329.7588909434558,2314.5065098604296,-6.21586651333655,-6.21586651333655,0.0,35.144664062541665,2328.6976318359375,2376.1844879108353,2281.2107757610397,94.97371214979557,0.5,17.94421832801973,29.570294977844856,-82.05578167198027,2128320.75,0.4644050949557298,0.0,0.013966578439232281,-0.0017138338343983817,32.35272309237507,0.9961216079462849,1.0100881863855171,0.9961216079462849,0.01192905809562934,0.008564375390483058,-60.72900390625,0.0,32.35272309237507,43.7854523463281,2320.41552734375,2131569.0,2336.861929579234,2310.6950631027157,2323.2626953125,1247552.0,2349.6261265509324,2320.1698859339126,2346.77880859375,2260902.0,2351.148103051197,2291.1554631934337,2357.824951171875,1718225.0,2365.6799489199275,2341.77120363809,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2317.077392578125
2024-12-19 00:00:00+05:30,2304.4602052401287,2343.686056401983,2293.6595822074737,2317.077392578125,1655915.0,0.0,0.0,2324.79462890625,2332.819878472222,2328.6976318359375,2330.202822265625,2280.4353153571706,2327.2500391945505,2314.5065098604296,-6.21586651333655,-6.21586651333655,0.0,35.444919716064035,2328.6976318359375,2376.1844879108353,2281.2107757610397,94.97371214979557,0.5,18.39750119952364,19.036128711019405,-81.60249880047635,2075831.2222222222,0.7977117707225287,0.0,0.021590333734535616,0.0002757128299109013,50.02647419450932,0.9945546974915854,1.011483718199957,0.9898933844654213,0.011187092130118825,0.0088557883615537,-60.72900390625,0.0,50.02647419450932,44.47889921834823,2316.438720703125,988403.0,2339.807386268207,2307.454663175832,2320.41552734375,2131569.0,2336.861929579234,2310.6950631027157,2323.2626953125,1247552.0,2349.6261265509324,2320.1698859339126,2302.447265625,3231056.0,2356.450379655681,2295.6232837042285,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2291.597412109375
2024-12-20 00:00:00+05:30,2309.467724557705,2330.479748587135,2282.515070557055,2291.597412109375,2069691.0,0.0,0.0,2313.758349609375,2328.6976318359375,2328.6976318359375,2330.202822265625,2280.4353153571706,2320.4938802181036,2314.5065098604296,-6.21586651333655,-6.21586651333655,0.0,29.91890030668202,2328.6976318359375,2376.1844879108353,2281.2107757610397,94.97371214979557,0.10936327656597387,6.0735369536099455,14.138418827051105,-93.92646304639005,2075217.2,0.9973370498278445,0.0,0.020930673850748222,-0.010996603113200054,47.964678030079995,1.0077981901855442,1.0169673504919738,0.9960366766412256,0.01093656372455678,0.009063865897854007,-60.72900390625,0.0,47.964678030079995,44.82747709952141,2317.077392578125,1655915.0,2343.686056401983,2293.6595822074737,2316.438720703125,988403.0,2339.807386268207,2307.454663175832,2320.41552734375,2131569.0,2336.861929579234,2310.6950631027157,2346.77880859375,2260902.0,2351.148103051197,2291.1554631934337,2357.23583984375,3385021.0,2432.054648922866,2340.1021731538126,2296.5068359375
